Genes	First.Protein.Description	Detection	Median.Abundance	Peptides	Precursors
IGHV1-69	Immunoglobulin heavy variable 1-69	0.855203619909502	142.244032597226	3	3
IGHG1;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	0.999095022624434	14315.9841494602	2	4
IGHG1;IGHG2	Immunoglobulin heavy constant gamma 1	0.65158371040724	3790.42291316493	2	5
IGKV6D-21	Immunoglobulin kappa variable 6D-21	0.174660633484163	17.3625194511042	1	1
TTN	Titin	0.43710407239819	178.829470080008	1	1
IGHV1-69;IGHV1-69D	Immunoglobulin heavy variable 1-69D	0.761990950226244	123.62683772409	2	3
IGF2	Insulin-like growth factor II	0.470588235294118	35.4557932467446	1	1
IGHV1-18;IGHV1-2;IGHV1-24;IGHV1-3;IGHV1-46	Immunoglobulin heavy variable 1-3	0.51131221719457	153.269880892552	1	1
CARD9	Caspase recruitment domain-containing protein 9	0.276018099547511	26.7325259481459	2	2
IGKV1-27;IGKV1-8	Immunoglobulin kappa variable 1-27	0.608144796380091	557.189106323241	1	2
IGHV3-20	Immunoglobulin heavy variable 3-20	0.0615384615384615	76.7773777921694	1	2
FCN2	Ficolin-2	0.215384615384615	27.3707543811228	2	3
IGKV1-27	Immunoglobulin kappa variable 1-27	0.578280542986425	58.2220088246376	2	2
SCP2	Non-specific lipid-transfer protein	0.352036199095023	338.704168814169	1	1
IGHV1-3	Immunoglobulin heavy variable 1-3	0.411764705882353	56.1154734707101	1	2
IGHV3-15;IGHV3-72;IGHV3-73	Immunoglobulin heavy variable 3-15	0.409954751131222	67.5125594332783	1	1
ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	0.175565610859729	22.8368143158251	1	1
APOC4	Apolipoprotein C-IV	0.593665158371041	41.2042135599865	3	4
PROC	Vitamin K-dependent protein C	0.361990950226244	24.7792872471441	1	1
IGHV4-28	Immunoglobulin heavy variable 4-28	0.264253393665158	376.999177081679	3	3
IGKV1-8	Immunoglobulin kappa variable 1-8	0.286877828054299	43.0955829251554	2	2
IGKV1-39;IGKV1D-39	Immunoglobulin kappa variable 1-39	0.291402714932127	68.6040865123133	2	3
IGLV3-10;IGLV3-16	Immunoglobulin lambda variable 3-16	0.347511312217195	50.1953882797594	2	2
HGFAC	Hepatocyte growth factor activator	0.546606334841629	40.6783395979209	3	3
HLA-A;HLA-B;HLA-C;HLA-E;HLA-G;HLA-H	HLA class I histocompatibility antigen, B-7 alpha chain	0.0416289592760181	24.1259947314737	1	1
IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13	0.235294117647059	195.94643016577	2	2
IGHV3-23;IGHV3-53	Immunoglobulin heavy variable 3-23	0.133031674208145	204.793433646822	1	1
PI16	Peptidase inhibitor 16	0.0769230769230769	15.8931902748176	2	2
CETP	Cholesteryl ester transfer protein	0.0524886877828054	27.3479702055612	1	1
PON3	Serum paraoxonase/lactonase 3	0.18552036199095	157.571462680222	1	1
IGHV4-34	Immunoglobulin heavy variable 4-34	0.0334841628959276	40.2185621183718	5	6
IGHV4-4	Immunoglobulin heavy variable 4-4	0.369230769230769	21.2688966031543	2	2
IGLV7-46	Immunoglobulin lambda variable 7-46	0.0778280542986425	92.5194983401742	1	1
THBS1	Thrombospondin-1	0.23710407239819	74.8466762127233	13	13
IGLV2-11	Immunoglobulin lambda variable 2-11	0.0687782805429864	288.270136518422	1	1
IGHV1-69D	Immunoglobulin heavy variable 1-69D	0.0416289592760181	89.48905	1	1
CFL1;CFL2	Cofilin-1	0.0235294117647059	53.2167488240267	1	1
PRDX2	Peroxiredoxin-2	0.085972850678733	23.7396899307318	4	4
ACTA2;ACTG2	Actin, aortic smooth muscle	0.109502262443439	27.4209	1	1
IGHV2-26	Immunoglobulin heavy variable 2-26	0.320361990950226	26.0103459129091	1	1
SERPINA5	Plasma serine protease inhibitor	0.0742081447963801	42.3541280056275	8	9
IGHV3-21	Immunoglobulin heavy variable 3-21	0.141176470588235	58.1877693558024	2	2
FGL1	Fibrinogen-like protein 1	0.00361990950226244	29.6164	1	1
CA2	Carbonic anhydrase 2	0.00361990950226244	15.5126455054374	4	4
IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	0.00723981900452489	23.0703515935124	2	2
VCAM1	Vascular cell adhesion protein 1	0.032579185520362	11.0850250163549	2	2
RARRES2	Retinoic acid receptor responder protein 2	0.0217194570135747	19.2375442924225	1	1
PCYOX1	Prenylcysteine oxidase 1	0.00633484162895928	11.8828	1	1
PLTP	Phospholipid transfer protein	0.00723981900452489	42.8081870401349	2	2
IGLV9-49	Immunoglobulin lambda variable 9-49	0.0135746606334842	49.0129999996557	2	2
CAT	Catalase	0.00452488687782806	43.4076	1	1
CD163	Scavenger receptor cysteine-rich type 1 protein M130	0.00361990950226244	6.484815	2	2
IGFBP6	Insulin-like growth factor-binding protein 6	0.00633484162895928	20.4184	2	2
IGKV1-12;IGKV1D-12	Immunoglobulin kappa variable 1-12	0.0108597285067873	205.034705523236	2	2
PRG2	Bone marrow proteoglycan	0.00180995475113122	8.34476	1	1
PRAP1	Proline-rich acidic protein 1	0.00723981900452489	12.54365	1	1
ALDOA	Fructose-bisphosphate aldolase A	0.00180995475113122	7.034125	1	1
